TP-LINK_3625 1.2105263;Four-Faith-2 1.0000000;Four-Faith-3 1.1315789;TP-LINK_3051 1.2105263;TP-LINK_5958 1.1315789;TP-LINK_E7D2 1.1315789;TP-LINK_35EB 1.1315789;
TP-LINK_E7D2 1.0487805;Four-Faith-2 1.0000000;Four-Faith-3 1.0975610;TP-LINK_35EB 1.0487805;TP-LINK_3051 1.1951220;TP-LINK_3625 1.0975610;TP-LINK_5958 1.0975610;
TP-LINK_5958 1.0975610;Four-Faith-2 1.0000000;TP-LINK_35EB 1.0000000;TP-LINK_E7D2 1.0975610;Four-Faith-3 1.0487805;TP-LINK_3625 1.1219512;TP-LINK_3051 1.2195122;
TP-LINK_35EB 1.0487805;TP-LINK_E7D2 1.0487805;Four-Faith-2 1.0000000;Four-Faith-3 1.0243902;TP-LINK_3625 1.0975610;TP-LINK_3051 1.1951220;TP-LINK_5958 1.0975610;
TP-LINK_3051 1.2750000;Four-Faith-2 1.0000000;TP-LINK_5958 1.1750000;TP-LINK_3625 1.1500000;TP-LINK_E7D2 1.1250000;Four-Faith-3 1.0750000;TP-LINK_35EB 1.0750000;
TP-LINK_3051 1.0975610;TP-LINK_35EB 1.0487805;TP-LINK_E7D2 1.0975610;Four-Faith-2 1.0000000;TP-LINK_3625 1.0731707;Four-Faith-3 1.0731707;TP-LINK_5958 1.0731707;
TP-LINK_3051 1.1951220;Four-Faith-2 1.0487805;TP-LINK_5958 1.1219512;TP-LINK_E7D2 1.0975610;TP-LINK_35EB 1.0243902;TP-LINK_3625 1.0487805;Four-Faith-3 1.0000000;
Four-Faith-2 1.0000000;TP-LINK_5958 1.0238095;TP-LINK_3625 1.0238095;Four-Faith-3 1.0476190;TP-LINK_3051 1.1666667;TP-LINK_E7D2 1.0714286;TP-LINK_35EB 1.0000000;
TP-LINK_3625 1.1250000;TP-LINK_5958 1.1500000;TP-LINK_35EB 1.0250000;TP-LINK_E7D2 1.1750000;TP-LINK_3051 1.2250000;Four-Faith-2 1.0500000;Four-Faith-3 1.0000000;
TP-LINK_5958 1.1219512;TP-LINK_35EB 1.0000000;TP-LINK_3625 1.0487805;TP-LINK_E7D2 1.0731707;Four-Faith-2 1.0000000;Four-Faith-3 1.0243902;TP-LINK_3051 1.1951220;
